EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	SurrogateLoss	TimestepsSoFar
-665.3498567247051	1000.0	0.00035236526	8.192838	0.1038102160505523	0.22515752975300551	-0.049843013	528000
-625.7291830970747	1000.0	0.0003106783	8.190892	0.08898537257509564	0.20139606198671822	-0.046778783	531000
-758.7774067424419	1000.0	0.00041853174	8.189035	-0.3285295322974817	0.06805655079218875	-0.037308227	534000
-713.3092116900331	1000.0	0.00055093615	8.187125	0.019069506254069335	0.11665651852034498	-0.07932163	537000
-678.9976088790647	1000.0	0.0005719675	8.185146	0.10404287428360759	0.2365287270292563	-0.08902886	540000
-635.8771460762694	1000.0	0.0003877263	8.183055	-0.15564997608641984	0.08833508473589435	-0.10416516	543000
-708.716670610475	1000.0	0.00032114235	8.181095	0.11391026221096767	0.16975617651895492	-0.026533516	546000
-673.6992048587198	1000.0	0.0004958416	8.179286	-0.4900731103009346	0.12875960970096578	-0.0131434705	549000
-700.7527989639424	1000.0	0.0005934581	8.177394	0.07026578414457985	0.1375065219296373	-0.08712665	552000
-685.8287622901516	1000.0	0.00061477884	8.175412	-0.01154009610015061	0.08627778165413569	-0.09543206	555000
-658.4366399637057	1000.0	0.0005536909	8.17335	0.08623504947774474	0.15529007842032194	-0.095374346	558000
-738.6172685927257	1000.0	0.0006159873	8.171217	0.07173917458157153	0.16763454989831172	-0.093791954	561000
-607.4402529487015	1000.0	0.0009073797	8.169149	0.09309327331073658	0.23259400014701515	-0.048067953	564000
-580.8461945332818	1000.0	0.0006885225	8.167268	0.0394730101993187	0.1988771384943161	-0.006493641	567000
-697.3210902682634	1000.0	0.0006732563	8.165401	-0.20669372209696868	0.1601320306217845	-0.057894215	570000
-652.0711791887718	1000.0	0.00058513996	8.163527	0.03182142922095588	0.1253983410481927	-0.065909	573000
-676.8781355411029	1000.0	0.0006332633	8.161562	0.06077295312236353	0.09981866854884935	-0.09360609	576000
-609.205805353122	1000.0	0.0008349563	8.159551	0.1415912548041478	0.3617021686184628	-0.082647815	579000
-622.8461025231665	1000.0	0.0006072469	8.1576395	-0.0656728702127598	0.18552092631303152	-0.033237346	582000
-635.0454827722339	1000.0	0.0004905932	8.155786	-0.1378321002959455	0.10968618676005315	-0.043161117	585000
-597.9061502275013	1000.0	0.0003973415	8.15393	0.08130433391058922	0.3292242815421771	-0.063251235	588000
-661.8400044227615	1000.0	0.00034339834	8.152089	-0.06547915576781049	0.20195288414919632	-0.05667419	591000
-659.133380588319	1000.0	0.00045518883	8.149979	0.04636681783903063	0.14177995295382062	-0.1549682	594000
-627.0748369157969	1000.0	0.00043159683	8.147821	0.07477504287359338	0.14730742531922025	-0.08607408	597000
-630.7551322602501	1000.0	0.0004391931	8.145655	0.06094157170491332	0.12728947422579773	-0.07572265	600000
-685.0201246695697	1000.0	0.00026511453	8.143586	0.05180122627738837	0.09310646247375665	-0.043724056	603000
-629.0719649672441	1000.0	0.00030093317	8.141525	0.10400650029903313	0.15139563725240968	-0.066800766	606000
-610.0685276373075	1000.0	0.00044005044	8.13937	0.073077974748602	0.12858888487574494	-0.102189735	609000
-613.1208059155459	1000.0	0.0004334971	8.137185	0.1045607504822913	0.16656148649453917	-0.08455859	612000
-633.9458581162054	1000.0	0.00051504653	8.1349	0.0030992834019355486	0.08384492367623286	-0.108123	615000
-674.2781915292807	1000.0	0.00043309928	8.132569	0.05696277048942133	0.1610665687086802	-0.09258331	618000
-613.223319039675	1000.0	0.00049257034	8.130155	-0.2854095501767886	0.21664741928849185	-0.10769544	621000
-626.7239780512936	1000.0	0.00041732483	8.12779	0.15500292022727602	0.2870303563280504	-0.06320636	624000
-595.1361614337617	1000.0	0.00053220417	8.125635	0.005697249455616005	0.17340273848756693	-0.008079702	627000
-611.5866283338029	1000.0	0.0007174524	8.123616	0.09891508692116358	0.14775913523756457	-0.026374374	630000
-628.7775876872028	1000.0	0.00048382735	8.121782	0.04340828173056821	0.14330024869520253	-0.0056362865	633000
-616.2353431351912	1000.0	0.0006814681	8.12002	0.0728248951320144	0.14358559638273227	-0.038645167	636000
-589.86291676146	1000.0	0.00050511485	8.118041	0.03700745129534588	0.23592819862659042	-0.1331928	639000
-559.0512846633873	1000.0	0.00051760644	8.116192	-0.04084370369172907	0.18132398428659435	-0.023767354	642000
-638.1729708197996	1000.0	0.00053675007	8.114287	-0.02499231418419101	0.15351301474901036	-0.08201543	645000
-620.6830044224743	1000.0	0.00039006825	8.112366	-0.12476897859493685	0.07601759202251734	-0.069958314	648000
-678.646391599306	1000.0	0.00042944567	8.11049	0.057749014885491556	0.08830896710227587	-0.05197389	651000
-634.8112458666371	1000.0	0.00038625518	8.10867	0.06489916343483926	0.17097251939589264	-0.04260037	654000
-577.7172432989265	1000.0	0.00037468164	8.106926	0.13724618049295745	0.1597841880029669	-0.035719424	657000
-630.5289787300687	1000.0	0.00061319873	8.10519	0.13234121876114024	0.2815309069788212	-0.054536782	660000
-662.9611522164464	1000.0	0.00084353215	8.103415	-0.08157115262148285	0.15303948810940005	-0.069617525	663000
-612.1618472658162	1000.0	0.00075980613	8.101589	-0.014988089060570031	0.13471403910074142	-0.075158626	666000
-573.6852120810145	1000.0	0.000681655	8.099725	0.2128857939730816	0.3132187744487688	-0.07455998	669000
-557.504232766175	1000.0	0.00046072147	8.097629	0.1640959588644968	0.2440574565020317	-0.14724275	672000
-584.2446350860827	1000.0	0.0005130339	8.095549	0.15052404729246915	0.22701018714672627	-0.063328296	675000
-584.8061097236551	1000.0	0.00043525346	8.093567	-1.5297650632169382	0.11970288052261813	-0.036356706	678000
-630.9430363637249	1000.0	0.00040380095	8.091627	0.07592116267390503	0.2764417557035904	-0.05281118	681000
-608.646882078534	1000.0	0.00052051735	8.089709	0.07887578269973472	0.1509186378663412	-0.057135258	684000
